City,Fuel Type Code,State,EV Total Port Count (Beta)
barron,ELEC,WI,1.0
barstow,ELEC,CA,127.0
bartlesville,ELEC,OK,15.0
bartlett,ELEC,TN,17.0
bartonsville,ELEC,PA,10.0
bartow,ELEC,FL,9.0
basalt,ELEC,CO,25.0
basking ridge,ELEC,NJ,55.0
bass harbor,ELEC,ME,1.0
bastrop,ELEC,TX,23.0
batavia,ELEC,OH,33.0
batesville,ELEC,MS,18.0
bath,ELEC,NY,11.0
baton rouge,ELEC,LA,107.0
battle creek,ELEC,MI,49.0
battle ground,ELEC,WA,6.0
battle mountain,ELEC,NV,4.0
baxter,ELEC,MN,15.0
baxter springs,ELEC,KS,4.0
bay city,ELEC,MI,34.0
bay harbor,ELEC,MI,4.0
bay harbor islands,ELEC,FL,6.0
bay lake,ELEC,FL,12.0
bay minette,ELEC,AL,1.0
bay pines,ELEC,FL,1.0
bay point,ELEC,CA,2.0
bay shore,ELEC,NY,35.0
bay village,ELEC,OH,4.0
bayamón,ELEC,PR,1.0
bayberry,ELEC,NY,2.0
bayfield,ELEC,CO,7.0
bayport,ELEC,NY,5.0
bayshore,ELEC,NY,6.0
bayside,ELEC,NY,5.0
baytown,ELEC,TX,42.0
beach haven,ELEC,NJ,9.0
beachwood,ELEC,OH,6.0
beacon,ELEC,NY,24.0
beacon falls,ELEC,CT,2.0
bealeton,ELEC,VA,8.0
bean station,ELEC,TN,2.0
bear,ELEC,DE,10.0
bear mountain,ELEC,NY,2.0
bear valley,ELEC,CA,2.0
beatrice,ELEC,NE,8.0
beatty,ELEC,NV,10.0
beaufort,ELEC,SC,17.0
beaumont,ELEC,TX,88.0
beaver,ELEC,UT,39.0
beaver creek,ELEC,CO,11.0
beaver dam,ELEC,WI,14.0
beaver falls,ELEC,PA,2.0
beavercreek,ELEC,OH,29.0
beaverton,ELEC,OR,276.0
becket,ELEC,MA,4.0
beckley,ELEC,WV,4.0
bedford,ELEC,TX,77.0
