City,State,Total Population
Baton Rouge,Louisiana,221451
Kenner,Louisiana,63991
Lafayette,Louisiana,121367
Lake Charles,Louisiana,79106
Metairie CDP,Louisiana,144729
New Orleans,Louisiana,369749
Shreveport,Louisiana,179551
Portland,Maine,68420
Baltimore,Maryland,569931
Bethesda CDP,Maryland,68522
Columbia CDP,Maryland,101734
Dundalk CDP,Maryland,66537
Ellicott CDP,Maryland,73239
Frederick,Maryland,82169
Gaithersburg,Maryland,68952
Germantown CDP,Maryland,93203
Glen Burnie CDP,Maryland,71182
Rockville,Maryland,66915
Silver Spring CDP,Maryland,75313
Waldorf CDP,Maryland,84642
Boston,Massachusetts,649768
Brockton,Massachusetts,104833
Cambridge,Massachusetts,118489
Fall River,Massachusetts,93689
Framingham,Massachusetts,70947
Haverhill,Massachusetts,67151
Lawrence,Massachusetts,87952
Lowell,Massachusetts,113594
Lynn,Massachusetts,100892
Malden,Massachusetts,64718
Medford,Massachusetts,65412
New Bedford,Massachusetts,100676
Newton,Massachusetts,87382
Quincy,Massachusetts,101716
Somerville,Massachusetts,79761
Springfield,Massachusetts,154058
Worcester,Massachusetts,205317
Ann Arbor,Michigan,119871
Dearborn,Michigan,107712
Detroit,Michigan,620410
Farmington Hills,Michigan,82738
Flint,Michigan,79865
Grand Rapids,Michigan,196904
Kalamazoo,Michigan,72883
Lansing,Michigan,112963
Livonia,Michigan,93786
Novi,Michigan,66375
Rochester Hills,Michigan,75947
Southfield,Michigan,75454
Sterling Heights,Michigan,132554
Troy,Michigan,87182
Warren,Michigan,137111
Westland,Michigan,84023
Wyoming,Michigan,76730
Blaine,Minnesota,71738
Bloomington,Minnesota,87799
Brooklyn Park,Minnesota,83319
Duluth,Minnesota,86615
Eagan,Minnesota,67526
Lakeville,Minnesota,74551
Maple Grove,Minnesota,70588
Minneapolis,Minnesota,425104
Plymouth,Minnesota,78669
Rochester,Minnesota,121894
St. Cloud,Minnesota,69813
St. Paul,Minnesota,303160
Woodbury,Minnesota,78560
Gulfport,Mississippi,72228
Jackson,Mississippi,146019
Columbia,Missouri,128545
Independence,Missouri,121211
Kansas,Missouri,509247
Lee's Summit,Missouri,104336
O'Fallon,Missouri,93648
St. Charles,Missouri,71190
St. Joseph,Missouri,70682
St. Louis,Missouri,286578
Springfield,Missouri,170062
Billings,Montana,119969
Missoula,Montana,76960
Lincoln,Nebraska,292623
Omaha,Nebraska,485146
Enterprise CDP,Nevada,231446
Henderson,Nevada,331408
Las Vegas,Nevada,656302
North Las Vegas,Nevada,280539
Paradise CDP,Nevada,183321
Reno,Nevada,273447
Sparks,Nevada,109227
Spring Valley CDP,Nevada,220707
Sunrise Manor CDP,Nevada,204985
Manchester,New Hampshire,115141
Nashua,New Hampshire,91162
Bayonne,New Jersey,69527
Camden,New Jersey,70998
Clifton,New Jersey,88722
East Orange,New Jersey,68445
Elizabeth,New Jersey,134274
Jersey,New Jersey,286661
Lakewood CDP,New Jersey,74485
Newark,New Jersey,305339
Passaic,New Jersey,69121
Paterson,New Jersey,156639
Toms River CDP,New Jersey,95021
Trenton,New Jersey,89658
Union,New Jersey,65365
Albuquerque,New Mexico,561006
Las Cruces,New Mexico,113881
Rio Rancho,New Mexico,108072
Santa Fe,New Mexico,89001
Albany,New York,100832
Buffalo,New York,276491
Cheektowaga CDP,New York,75261
Mount Vernon,New York,71717
New Rochelle,New York,82292
New York,New York,8335897
Rochester,New York,209325
Schenectady,New York,68810
Syracuse,New York,144459
Yonkers,New York,208112
Apex town,North Carolina,71064
Asheville,North Carolina,93782
Cary town,North Carolina,179256
Charlotte,North Carolina,897720
Concord,North Carolina,109898
Durham,North Carolina,291844
Fayetteville,North Carolina,208888
Gastonia,North Carolina,82666
Greensboro,North Carolina,301118
Greenville,North Carolina,89222
High Point,North Carolina,114339
Jacksonville,North Carolina,70433
Raleigh,North Carolina,477084
Wilmington,North Carolina,120320
Winston-Salem,North Carolina,251343
Bismarck,North Dakota,74444
Fargo,North Dakota,133879
Akron,Ohio,188498
Canton,Ohio,69666
Cincinnati,Ohio,309536
Cleveland,Ohio,361654
Columbus,Ohio,908372
Dayton,Ohio,135938
Lorain,Ohio,65366
Parma,Ohio,79356
Toledo,Ohio,266289
Broken Arrow,Oklahoma,120448
Edmond,Oklahoma,96304
Lawton,Oklahoma,91553
Norman,Oklahoma,129624
Oklahoma,Oklahoma,694768
Tulsa,Oklahoma,413142
Beaverton,Oregon,97064
Bend,Oregon,103263
Eugene,Oregon,177930
Gresham,Oregon,111634
Hillsboro,Oregon,107319
Medford,Oregon,85556
Portland,Oregon,635296
Salem,Oregon,177490
Allentown,Pennsylvania,125105
Bethlehem,Pennsylvania,78854
Erie,Pennsylvania,93517
Philadelphia,Pennsylvania,1567258
Pittsburgh,Pennsylvania,302905
Reading,Pennsylvania,94860
Scranton,Pennsylvania,75838
Cranston,Rhode Island,82432
Pawtucket,Rhode Island,75057
Providence,Rhode Island,189575
Warwick,Rhode Island,83024
Charleston,South Carolina,153743
Columbia,South Carolina,139343
Greenville,South Carolina,72310
Mount Pleasant town,South Carolina,94550
North Charleston,South Carolina,118604
Rock Hill,South Carolina,75361
Rapid,South Dakota,78833
Sioux Falls,South Dakota,202090
Chattanooga,Tennessee,184071
Clarksville,Tennessee,176977
Franklin,Tennessee,86904
Jackson,Tennessee,68381
Johnson,Tennessee,71444
Knoxville,Tennessee,195871
Memphis,Tennessee,621050
Murfreesboro,Tennessee,162402
Nashville-Davidson metropolitan government (balance),Tennessee,683639
Abilene,Texas,128149
Allen,Texas,111548
Amarillo,Texas,203477
Arlington,Texas,394573
Atascocita CDP,Texas,107626
Austin,Texas,975335
Baytown,Texas,86203
Beaumont,Texas,112090
Brownsville,Texas,189381
Bryan,Texas,87793
Carrollton,Texas,133240
Cedar Park,Texas,80212
College Station,Texas,124326
Conroe,Texas,101414
Corpus Christi,Texas,316228
Dallas,Texas,1299553
Denton,Texas,150357
Edinburg,Texas,104302
El Paso,Texas,677469
Flower Mound town,Texas,77947
Fort Worth,Texas,961160
Frisco,Texas,219571
Garland,Texas,240667
Georgetown,Texas,86505
Grand Prairie,Texas,201791
Harlingen,Texas,71669
Houston,Texas,2304414
Irving,Texas,254712
Killeen,Texas,159170
Laredo,Texas,254041
League,Texas,118550
Leander,Texas,73808
Lewisville,Texas,130933
Longview,Texas,83119
Lubbock,Texas,263937
McAllen,Texas,144585
McKinney,Texas,207506
Mansfield,Texas,76586
Mesquite,Texas,147723
Midland,Texas,134398
Mission,Texas,86634
Missouri,Texas,74815
New Braunfels,Texas,98643
North Richland Hills,Texas,70666
Odessa,Texas,116669
Pasadena,Texas,147665
Pearland,Texas,127170
Pflugerville,Texas,65374
Pharr,Texas,80170
Plano,Texas,290108
Richardson,Texas,118830
Round Rock,Texas,124790
Rowlett,Texas,65284
San Angelo,Texas,99871
San Antonio,Texas,1472904
San Marcos,Texas,70308
Spring CDP,Texas,73085
Sugar Land,Texas,109395
Temple,Texas,89455
The Woodlands CDP,Texas,117970
Tyler,Texas,109277
Victoria,Texas,65372
Waco,Texas,143987
Wichita Falls,Texas,102659
Layton,Utah,82600
Lehi,Utah,84368
Ogden,Utah,86813
Orem,Utah,95918
Provo,Utah,113516
St. George,Utah,102523
Salt Lake,Utah,204653
Sandy,Utah,93029
South Jordan,Utah,83520
West Jordan,Utah,116662
West Valley,Utah,136639
Alexandria,Virginia,155525
Arlington CDP,Virginia,234000
Centreville CDP,Virginia,69345
Chesapeake,Virginia,252488
Dale CDP,Virginia,66140
Hampton,Virginia,138037
Lynchburg,Virginia,79287
Newport News,Virginia,184306
Norfolk,Virginia,232995
Portsmouth,Virginia,97029
Richmond,Virginia,229395
Roanoke,Virginia,97847
Suffolk,Virginia,98537
Virginia Beach,Virginia,455618
Auburn,Washington,83976
Bellevue,Washington,152765
Bellingham,Washington,93899
Everett,Washington,111348
Federal Way,Washington,97863
Kennewick,Washington,84757
Kent,Washington,134400
Kirkland,Washington,92155
Marysville,Washington,72280
Pasco,Washington,80205
Redmond,Washington,76739
Renton,Washington,104060
Sammamish,Washington,65844
Seattle,Washington,749267
South Hill CDP,Washington,64623
Spokane,Washington,230176
Spokane Valley,Washington,107325
Tacoma,Washington,221790
Vancouver,Washington,194509
Yakima,Washington,97017
Appleton,Wisconsin,75018
Eau Claire,Wisconsin,69073
Green Bay,Wisconsin,106096
Janesville,Wisconsin,65901
Kenosha,Wisconsin,98490
Madison,Wisconsin,272907
Milwaukee,Wisconsin,563306
Oshkosh,Wisconsin,65934
Racine,Wisconsin,76455
Waukesha,Wisconsin,70465
Cheyenne,Wyoming,64623
Bayamón zona urbana,Puerto Rico,166032
Caguas zona urbana,Puerto Rico,68451
Carolina zona urbana,Puerto Rico,134842
Guaynabo zona urbana,Puerto Rico,70174
Ponce zona urbana,Puerto Rico,105979
San Juan zona urbana,Puerto Rico,319837
