City,State,Total EV Chargers,Median Income (16 and over),Total Population
Lafayette,Indiana,179,38585,72326
Lafayette,Louisiana,179,38585,121367
Lafayette,Indiana,179,40960,72326
Lafayette,Louisiana,179,40960,121367
Lake charles,Louisiana,15,41140,79106
Lake elsinore,California,62,44753,71905
Lake forest,California,89,60423,85635
Lakeland,Florida,40,39129,120044
Lakeville,Minnesota,33,67526,74551
Lakewood,California,209,52250,79042
Lakewood,Colorado,209,52250,156114
Lakewood,California,209,52382,79042
Lakewood,Colorado,209,52382,156114
Lancaster,California,225,45923,169192
Lansing,Michigan,134,36601,112963
Laredo,Texas,14,32312,254041
Largo,Florida,45,42019,82474
Las cruces,New Mexico,48,32030,113881
Las vegas,Nevada,997,40316,656302
Lauderhill,Florida,4,35606,73637
Lawrence,Kansas,77,31934,95784
Lawrence,Massachusetts,77,31934,87952
Lawrence,Kansas,77,32208,95784
Lawrence,Massachusetts,77,32208,87952
Lawton,Oklahoma,17,31914,91553
Layton,Utah,22,49782,82600
Leander,Texas,11,70123,73808
Lee's summit,Missouri,4,54388,104336
Lehi,Utah,158,50105,84368
Lewisville,Texas,42,47755,130933
Lincoln,Nebraska,185,41163,292623
Little rock,Arkansas,160,41222,202851
Livermore,California,203,74427,84722
Livonia,Michigan,52,56440,93786
Lodi,California,75,42155,67273
Long beach,California,538,47825,451319
Longmont,Colorado,136,48819,100656
Longview,Texas,30,41781,83119
Los angeles,California,5240,42342,3822224
Loveland,Colorado,89,44293,77890
Lowell,Massachusetts,139,44533,113594
Lubbock,Texas,28,38118,263937
Lynchburg,Virginia,25,31308,79287
Lynn,Massachusetts,12,37180,100892
Lynwood,California,24,32374,64081
Madera,California,88,30333,68042
Madison,Wisconsin,313,48647,272907
Malden,Massachusetts,60,55653,64718
Manchester,New Hampshire,128,44836,115141
Mansfield,Texas,43,52592,76586
Manteca,California,81,43937,86940
Maple grove,Minnesota,49,69620,70588
Maricopa,Arizona,25,51913,66287
Marysville,Washington,71,55436,72280
Mcallen,Texas,24,32793,144585
Mckinney,Texas,54,61493,207506
Medford,Massachusetts,129,67396,65412
Medford,Oregon,129,67396,85556
Medford,Massachusetts,129,38250,65412
Medford,Oregon,129,38250,85556
Melbourne,Florida,101,42444,86439
Memphis,Tennessee,129,38566,621050
Menifee,California,31,50565,109399
Merced,California,47,40376,91572
Meridian,Idaho,54,49587,129730
Mesa,Arizona,149,45077,512523
Mesquite,Texas,59,40404,147723
Miami,Florida,1017,40453,449484
Miami beach,Florida,212,50637,80027
Miami gardens,Florida,16,35354,110491
Midland,Texas,30,51893,134398
Milpitas,California,200,86549,77744
Milwaukee,Wisconsin,117,39835,563306
Minneapolis,Minnesota,262,51498,425104
Miramar,Florida,46,44401,137208
Mission,Texas,39,35991,86634
Mission viejo,California,53,63872,91775
Missoula,Montana,36,35985,76960
Missouri,Texas,8,52855,74815
Mobile,Alabama,72,36795,183282
Modesto,California,95,42971,218071
Montgomery,Alabama,146,35022,196986
Moreno valley,California,86,40348,211915
Mount vernon,New York,37,46210,71717
Mountain view,California,361,123256,81058
Muncie,Indiana,2,28204,65160
