City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Compton,ELEC,CA,18.0,California,34924.0,California,91979.0
Concord,ELEC,CA,188.0,California,50378.0,California,122616.0
Concord,ELEC,CA,188.0,California,50378.0,North Carolina,109898.0
Concord,ELEC,CA,188.0,North Carolina,46881.0,California,122616.0
Concord,ELEC,CA,188.0,North Carolina,46881.0,North Carolina,109898.0
Conroe,ELEC,TX,31.0,Texas,41196.0,Texas,101414.0
Conway,ELEC,AR,55.0,Arkansas,42353.0,Arkansas,67616.0
Coral springs,ELEC,FL,14.0,Florida,45770.0,Florida,133365.0
Corona,ELEC,CA,102.0,California,46293.0,California,159534.0
Corpus christi,ELEC,TX,61.0,Texas,40879.0,Texas,316228.0
Costa mesa,ELEC,CA,219.0,California,51052.0,California,109527.0
Cranston,ELEC,RI,30.0,Rhode Island,50506.0,Rhode Island,82432.0
Dallas,ELEC,TX,660.0,Texas,42397.0,Texas,1299553.0
Danbury,ELEC,CT,53.0,Connecticut,44274.0,Connecticut,86971.0
Davenport,ELEC,IA,68.0,Iowa,36198.0,Iowa,100491.0
Davis,ELEC,CA,201.0,California,35221.0,California,67057.0
Dayton,ELEC,OH,181.0,Ohio,35240.0,Ohio,135938.0
Daytona beach,ELEC,FL,118.0,Florida,35908.0,Florida,77957.0
Dearborn,ELEC,MI,37.0,Michigan,42130.0,Michigan,107712.0
Decatur,ELEC,AL,90.0,Illinois,40291.0,Illinois,70396.0
Deerfield beach,ELEC,FL,45.0,Florida,38668.0,Florida,86781.0
Delray beach,ELEC,FL,77.0,Florida,43772.0,Florida,67035.0
Deltona,ELEC,FL,12.0,Florida,40723.0,Florida,97285.0
Denton,ELEC,TX,76.0,Texas,35175.0,Texas,150357.0
Denver,ELEC,CO,1079.0,Colorado,59690.0,Colorado,713252.0
Des moines,ELEC,IA,85.0,Iowa,42069.0,Iowa,210936.0
Detroit,ELEC,MI,349.0,Michigan,31741.0,Michigan,620410.0
Doral,ELEC,FL,76.0,Florida,43613.0,Florida,76999.0
Dothan,ELEC,AL,24.0,Alabama,37493.0,Alabama,70524.0
Downey,ELEC,CA,233.0,California,42738.0,California,109908.0
Dublin,ELEC,CA,215.0,California,112352.0,California,72061.0
Duluth,ELEC,GA,126.0,Minnesota,40118.0,Minnesota,86615.0
Durham,ELEC,NC,227.0,North Carolina,49743.0,North Carolina,291844.0
Eagan,ELEC,MN,47.0,Minnesota,59704.0,Minnesota,67526.0
East orange,ELEC,NJ,2.0,New Jersey,34872.0,New Jersey,68445.0
Eastvale,ELEC,CA,16.0,California,66578.0,California,71015.0
Eau claire,ELEC,WI,45.0,Wisconsin,34124.0,Wisconsin,69073.0
Edinburg,ELEC,TX,4.0,Texas,34767.0,Texas,104302.0
Edmond,ELEC,OK,69.0,Oklahoma,52634.0,Oklahoma,96304.0
El cajon,ELEC,CA,116.0,California,40280.0,California,104417.0
El monte,ELEC,CA,70.0,California,32326.0,California,105307.0
El paso,ELEC,TX,90.0,Texas,32968.0,Texas,677469.0
Elgin,ELEC,IL,57.0,Illinois,42150.0,Illinois,109634.0
Elizabeth,ELEC,NJ,60.0,New Jersey,39177.0,New Jersey,134274.0
Elk grove,ELEC,CA,172.0,California,52617.0,California,177558.0
Erie,ELEC,PA,95.0,Pennsylvania,32265.0,Pennsylvania,93517.0
Escondido,ELEC,CA,82.0,California,42889.0,California,150258.0
Eugene,ELEC,OR,139.0,Oregon,37932.0,Oregon,177930.0
Evanston,ELEC,IL,70.0,Illinois,60008.0,Illinois,75538.0
Evansville,ELEC,IN,40.0,Indiana,35710.0,Indiana,118521.0
Everett,ELEC,WA,112.0,Washington,50905.0,Washington,111348.0
Fairfield,ELEC,CA,357.0,California,53969.0,California,119333.0
Fall river,ELEC,MA,72.0,Massachusetts,41826.0,Massachusetts,93689.0
Fargo,ELEC,ND,36.0,North Dakota,41118.0,North Dakota,133879.0
Farmington hills,ELEC,MI,42.0,Michigan,65984.0,Michigan,82738.0
Fayetteville,ELEC,NC,170.0,Arkansas,37445.0,Arkansas,99288.0
Fayetteville,ELEC,NC,170.0,Arkansas,37445.0,North Carolina,208888.0
Fayetteville,ELEC,NC,170.0,North Carolina,35658.0,Arkansas,99288.0
Fayetteville,ELEC,NC,170.0,North Carolina,35658.0,North Carolina,208888.0
Federal way,ELEC,WA,34.0,Washington,44531.0,Washington,97863.0
Fishers,ELEC,IN,32.0,Indiana,70877.0,Indiana,102152.0
Flagstaff,ELEC,AZ,157.0,Arizona,31979.0,Arizona,75902.0
Flint,ELEC,MI,17.0,Michigan,27587.0,Michigan,79865.0
Folsom,ELEC,CA,131.0,California,76422.0,California,83273.0
Fontana,ELEC,CA,78.0,California,41598.0,California,212448.0
Fort collins,ELEC,CO,186.0,Colorado,45232.0,Colorado,169248.0
Fort lauderdale,ELEC,FL,287.0,Florida,48679.0,Florida,183156.0
Fort myers,ELEC,FL,156.0,Florida,38132.0,Florida,95935.0
Fort smith,ELEC,AR,3.0,Arkansas,33362.0,Arkansas,89981.0
Fort wayne,ELEC,IN,133.0,Indiana,39779.0,Indiana,267436.0
Fort worth,ELEC,TX,375.0,Texas,45264.0,Texas,961160.0
Framingham,ELEC,MA,72.0,Massachusetts,58880.0,Massachusetts,70947.0
Franklin,ELEC,TN,130.0,Tennessee,64516.0,Tennessee,86904.0
Frederick,ELEC,MD,103.0,Maryland,61283.0,Maryland,82169.0
Fremont,ELEC,CA,392.0,California,97169.0,California,223859.0
Fresno,ELEC,CA,608.0,California,39338.0,California,545564.0
Frisco,ELEC,TX,178.0,Texas,75873.0,Texas,219571.0
Fullerton,ELEC,CA,209.0,California,52042.0,California,140552.0
Gainesville,ELEC,GA,143.0,Florida,30487.0,Florida,145212.0
Gaithersburg,ELEC,MD,110.0,Maryland,52584.0,Maryland,68952.0
Garden grove,ELEC,CA,28.0,California,38857.0,California,169265.0
Garland,ELEC,TX,52.0,Texas,39934.0,Texas,240667.0
Gary,ELEC,IN,3.0,Indiana,29934.0,Indiana,67742.0
Gastonia,ELEC,NC,43.0,North Carolina,40609.0,North Carolina,82666.0
Georgetown,ELEC,DE,77.0,Texas,54110.0,Texas,86505.0
Glendale,ELEC,CA,455.0,Arizona,40678.0,Arizona,252141.0
Glendale,ELEC,CA,455.0,Arizona,40678.0,California,189228.0
Glendale,ELEC,CA,455.0,California,51596.0,Arizona,252141.0
Glendale,ELEC,CA,455.0,California,51596.0,California,189228.0
Goodyear,ELEC,AZ,49.0,Arizona,54393.0,Arizona,105404.0
Grand junction,ELEC,CO,82.0,Colorado,37849.0,Colorado,68054.0
Grand prairie,ELEC,TX,38.0,Texas,41811.0,Texas,201791.0
Grand rapids,ELEC,MI,123.0,Michigan,43753.0,Michigan,196904.0
Greeley,ELEC,CO,33.0,Colorado,40196.0,Colorado,109203.0
