City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Argonne,ELEC,IL,2.0,,,,
Arkadelphia,ELEC,AR,10.0,,,,
Arkansas city,ELEC,KS,1.0,,,,
Arkville,ELEC,NY,2.0,,,,
Arleta,ELEC,CA,1.0,,,,
Arlington,ELEC,TX,645.0,Texas,38539.0,Texas,394573.0
Arlington  heights,ELEC,IL,4.0,,,,
Arlington heights,ELEC,IL,20.0,,,,
Arnold,ELEC,MD,10.0,,,,
Arroyo grande,ELEC,CA,27.0,,,,
Artesia,ELEC,NM,15.0,,,,
Arundel,ELEC,ME,2.0,,,,
Arvada,ELEC,CO,45.0,Colorado,62063.0,Colorado,121672.0
Arvin,ELEC,CA,110.0,,,,
Asbury,ELEC,MO,2.0,,,,
Asbury park,ELEC,NJ,10.0,,,,
Ashburn,ELEC,VA,108.0,,,,
Ashburnham,ELEC,MA,4.0,,,,
Asheboro,ELEC,NC,23.0,,,,
Asheville,ELEC,NC,172.0,North Carolina,42081.0,North Carolina,93782.0
Ashford,ELEC,WA,8.0,,,,
Ashland,ELEC,OR,119.0,,,,
Ashland city,ELEC,TN,2.0,,,,
Ashton,ELEC,ID,4.0,,,,
Ashwaubenon,ELEC,WI,8.0,,,,
Aspen,ELEC,CO,72.0,,,,
Astoira,ELEC,OR,4.0,,,,
Aston,ELEC,PA,2.0,,,,
Astoria,ELEC,OR,37.0,,,,
Atascadero,ELEC,CA,30.0,,,,
Atchison,ELEC,KS,2.0,,,,
Atco,ELEC,NJ,2.0,,,,
Athena,ELEC,OR,2.0,,,,
Athens,ELEC,GA,129.0,,,,
Atherton,ELEC,CA,24.0,,,,
Athol,ELEC,MA,8.0,,,,
Atkins,ELEC,VA,8.0,,,,
Atlanta,ELEC,GA,1870.0,Georgia,62215.0,Georgia,499121.0
Atlantic city,ELEC,NJ,33.0,,,,
Atlantic highlands,ELEC,NJ,2.0,,,,
Atmore,ELEC,AL,1.0,,,,
Atoka,ELEC,OK,1.0,,,,
Attica,ELEC,OH,8.0,,,,
Attleboro,ELEC,MA,10.0,,,,
Atwater,ELEC,CA,29.0,,,,
Au sable charter township,ELEC,MI,4.0,,,,
Au sable forks,ELEC,NY,2.0,,,,
Aubrey,ELEC,TX,2.0,,,,
Auburn,ELEC,WA,246.0,Alabama,31442.0,Alabama,80009.0
Auburn,ELEC,WA,246.0,Alabama,31442.0,Washington,83976.0
Auburn,ELEC,WA,246.0,Washington,53913.0,Alabama,80009.0
Auburn,ELEC,WA,246.0,Washington,53913.0,Washington,83976.0
Auburn hills,ELEC,MI,90.0,,,,
Augusta,ELEC,GA,106.0,,,,
Aulander,ELEC,NC,2.0,,,,
Aurora,ELEC,CO,329.0,Colorado,45260.0,Colorado,393319.0
Aurora,ELEC,CO,329.0,Colorado,45260.0,Illinois,182336.0
Aurora,ELEC,CO,329.0,Illinois,43780.0,Colorado,393319.0
Aurora,ELEC,CO,329.0,Illinois,43780.0,Illinois,182336.0
Austell,ELEC,GA,4.0,,,,
Austin,ELEC,TX,1460.0,Texas,56759.0,Texas,975335.0
Austinburg,ELEC,OH,1.0,,,,
Austintown,ELEC,OH,1.0,,,,
Avalon,ELEC,NJ,3.0,,,,
Avenal,ELEC,CA,2.0,,,,
Avenel,ELEC,NJ,14.0,,,,
Aventura,ELEC,FL,115.0,,,,
Aventure,ELEC,FL,4.0,,,,
Averill park,ELEC,NY,2.0,,,,
Avila beach,ELEC,CA,5.0,,,,
Avoca,ELEC,IA,2.0,,,,
Avon,ELEC,CO,94.0,,,,
Avon lake,ELEC,OH,6.0,,,,
Avon park,ELEC,FL,8.0,,,,
Avondale,ELEC,AZ,37.0,Arizona,43231.0,Arizona,91618.0
Avondale estates,ELEC,GA,2.0,,,,
Ayer,ELEC,MA,10.0,,,,
Azle,ELEC,TX,2.0,,,,
