"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"    Total population","5,074,296","*****","5,074,296","(X)","733,583","*****","733,583","(X)","7,359,197","*****","7,359,197","(X)","3,045,637","*****","3,045,637","(X)","39,029,342","*****","39,029,342","(X)","5,839,926","*****","5,839,926","(X)","3,626,205","*****","3,626,205","(X)","1,018,396","*****","1,018,396","(X)","671,803","*****","671,803","(X)","22,244,823","*****","22,244,823","(X)","10,912,876","*****","10,912,876","(X)","1,440,196","*****","1,440,196","(X)","1,939,033","*****","1,939,033","(X)","12,582,032","*****","12,582,032","(X)","6,833,037","*****","6,833,037","(X)","3,200,517","*****","3,200,517","(X)","2,937,150","*****","2,937,150","(X)","4,512,310","*****","4,512,310","(X)","4,590,241","*****","4,590,241","(X)","1,385,340","*****","1,385,340","(X)","6,164,660","*****","6,164,660","(X)","6,981,974","*****","6,981,974","(X)","10,034,118","*****","10,034,118","(X)","5,717,184","*****","5,717,184","(X)","2,940,057","*****","2,940,057","(X)","6,177,957","*****","6,177,957","(X)","1,122,867","*****","1,122,867","(X)","1,967,923","*****","1,967,923","(X)","3,177,772","*****","3,177,772","(X)","1,395,231","*****","1,395,231","(X)","9,261,699","*****","9,261,699","(X)","2,113,344","*****","2,113,344","(X)","19,677,151","*****","19,677,151","(X)","10,698,973","*****","10,698,973","(X)","779,261","*****","779,261","(X)","11,756,058","*****","11,756,058","(X)","4,019,800","*****","4,019,800","(X)","4,240,137","*****","4,240,137","(X)","12,972,008","*****","12,972,008","(X)","1,093,734","*****","1,093,734","(X)","5,282,634","*****","5,282,634","(X)","909,824","*****","909,824","(X)","7,051,339","*****","7,051,339","(X)","30,029,572","*****","30,029,572","(X)","3,380,800","*****","3,380,800","(X)","647,064","*****","647,064","(X)","8,683,619","*****","8,683,619","(X)","7,785,786","*****","7,785,786","(X)","1,775,156","*****","1,775,156","(X)","5,892,539","*****","5,892,539","(X)","581,381","*****","581,381","(X)","3,221,789","*****","3,221,789","(X)"
"        White","3,540,785","±13,037","69.8%","±0.3","532,234","±7,243","72.6%","±1.0","5,632,065","±30,372","76.5%","±0.4","2,416,515","±11,900","79.3%","±0.4","22,088,290","±76,474","56.6%","±0.2","4,923,231","±22,585","84.3%","±0.4","2,728,006","±14,880","75.2%","±0.4","694,175","±6,029","68.2%","±0.6","317,185","±5,954","47.2%","±0.9","16,448,100","±47,800","73.9%","±0.2","6,400,512","±22,059","58.7%","±0.2","631,327","±11,906","43.8%","±0.8","1,773,226","±7,982","91.4%","±0.4","8,967,181","±34,681","71.3%","±0.3","5,744,571","±13,952","84.1%","±0.2","2,901,495","±9,188","90.7%","±0.3","2,520,276","±10,891","85.8%","±0.4","4,005,434","±10,705","88.8%","±0.2","2,931,842","±10,944","63.9%","±0.2","1,329,331","±3,706","96.0%","±0.3","3,416,460","±19,205","55.4%","±0.3","5,434,894","±16,631","77.8%","±0.2","8,095,147","±17,263","80.7%","±0.2","4,773,841","±12,227","83.5%","±0.2","1,757,735","±8,349","59.8%","±0.3","5,224,769","±12,217","84.6%","±0.2","1,030,100","±5,593","91.7%","±0.5","1,708,233","±11,062","86.8%","±0.6","2,073,003","±18,500","65.2%","±0.6","1,309,756","±6,186","93.9%","±0.4","6,003,611","±30,955","64.8%","±0.3","1,497,263","±15,415","70.8%","±0.7","12,470,073","±43,889","63.4%","±0.2","7,427,233","±21,538","69.4%","±0.2","687,389","±4,783","88.2%","±0.6","9,772,251","±20,899","83.1%","±0.2","3,160,412","±13,506","78.6%","±0.3","3,639,127","±17,702","85.8%","±0.4","10,496,046","±21,821","80.9%","±0.2","876,540","±10,385","80.1%","±0.9","3,669,988","±14,379","69.5%","±0.3","788,992","±5,052","86.7%","±0.6","5,608,488","±13,656","79.5%","±0.2","21,197,710","±57,791","70.6%","±0.2","2,963,863","±16,009","87.7%","±0.5","622,650","±2,576","96.2%","±0.4","5,960,289","±21,423","68.6%","±0.2","6,046,666","±22,013","77.7%","±0.3","1,684,955","±4,393","94.9%","±0.2","5,188,177","±11,250","88.0%","±0.2","538,604","±4,282","92.6%","±0.7","1,954,484","±22,852","60.7%","±0.7"
"        Black or African American","1,384,973","±6,187","27.3%","±0.1","39,083","±2,902","5.3%","±0.4","473,603","±6,757","6.4%","±0.1","495,612","±5,659","16.3%","±0.2","2,829,724","±19,106","7.3%","±0.1","331,146","±6,236","5.7%","±0.1","501,228","±10,334","13.8%","±0.3","257,899","±3,147","25.3%","±0.3","308,871","±2,463","46.0%","±0.4","3,940,493","±19,146","17.7%","±0.1","3,669,298","±14,468","33.6%","±0.1","56,951","±3,218","4.0%","±0.2","28,658","±2,965","1.5%","±0.2","1,931,027","±11,001","15.3%","±0.1","769,996","±6,932","11.3%","±0.1","168,815","±4,254","5.3%","±0.1","222,702","±4,694","7.6%","±0.2","432,293","±5,577","9.6%","±0.1","1,526,386","±6,753","33.3%","±0.1","35,473","±1,101","2.6%","±0.1","2,006,889","±7,449","32.6%","±0.1","712,363","±9,952","10.2%","±0.1","1,538,795","±7,212","15.3%","±0.1","503,636","±3,753","8.8%","±0.1","1,123,520","±6,623","38.2%","±0.2","775,102","±4,279","12.5%","±0.1","9,696","±1,395","0.9%","±0.1","127,176","±3,073","6.5%","±0.2","387,145","±5,145","12.2%","±0.2","33,641","±1,889","2.4%","±0.1","1,410,694","±15,922","15.2%","±0.2","71,966","±5,239","3.4%","±0.2","3,462,837","±26,501","17.6%","±0.1","2,436,403","±12,585","22.8%","±0.1","32,372","±2,173","4.2%","±0.3","1,705,461","±10,582","14.5%","±0.1","392,236","±3,926","9.8%","±0.1","140,010","±4,313","3.3%","±0.1","1,673,221","±15,286","12.9%","±0.1","111,535","±7,004","10.2%","±0.6","1,422,289","±7,485","26.9%","±0.1","31,480","±2,411","3.5%","±0.3","1,222,072","±6,268","17.3%","±0.1","4,174,893","±20,752","13.9%","±0.1","72,719","±4,249","2.2%","±0.1","13,652","±1,179","2.1%","±0.2","1,847,065","±8,827","21.3%","±0.1","478,437","±7,487","6.1%","±0.1","83,409","±2,950","4.7%","±0.2","446,699","±4,573","7.6%","±0.1","8,116","±1,141","1.4%","±0.2","421,364","±15,518","13.1%","±0.5"
"        American Indian and Alaska Native","96,365","±6,352","1.9%","±0.1","148,357","±3,532","20.2%","±0.5","438,521","±12,183","6.0%","±0.2","89,937","±6,617","3.0%","±0.2","1,252,083","±30,697","3.2%","±0.1","185,051","±12,960","3.2%","±0.2","54,527","±6,483","1.5%","±0.2","16,799","±2,786","1.6%","±0.3","11,191","±2,612","1.7%","±0.4","315,854","±15,641","1.4%","±0.1","229,975","±12,835","2.1%","±0.1","46,105","±4,641","3.2%","±0.3","63,004","±4,829","3.2%","±0.2","249,682","±13,153","2.0%","±0.1","120,130","±8,677","1.8%","±0.1","53,062","±4,898","1.7%","±0.2","95,498","±6,837","3.3%","±0.2","78,006","±5,222","1.7%","±0.1","103,401","±7,179","2.3%","±0.2","25,539","±2,063","1.8%","±0.1","102,216","±9,550","1.7%","±0.2","75,889","±7,933","1.1%","±0.1","186,247","±7,109","1.9%","±0.1","139,810","±5,607","2.4%","±0.1","50,630","±5,733","1.7%","±0.2","134,987","±7,709","2.2%","±0.1","93,330","±2,155","8.3%","±0.2","54,699","±4,901","2.8%","±0.2","111,001","±8,632","3.5%","±0.3","17,640","±1,995","1.3%","±0.1","139,267","±10,955","1.5%","±0.1","249,137","±6,470","11.8%","±0.3","328,639","±15,742","1.7%","±0.1","282,887","±11,035","2.6%","±0.1","48,467","±3,176","6.2%","±0.4","190,753","±10,018","1.6%","±0.1","573,863","±7,069","14.3%","±0.2","163,101","±8,768","3.8%","±0.2","179,855","±14,070","1.4%","±0.1","19,583","±3,529","1.8%","±0.3","93,007","±7,580","1.8%","±0.1","94,520","±3,066","10.4%","±0.3","124,595","±7,954","1.8%","±0.1","745,891","±28,209","2.5%","±0.1","79,942","±5,672","2.4%","±0.2","11,480","±1,401","1.8%","±0.2","142,118","±10,236","1.6%","±0.1","274,556","±9,258","3.5%","±0.1","26,667","±2,858","1.5%","±0.2","119,776","±5,150","2.0%","±0.1","23,632","±2,280","4.1%","±0.4","70,963","±5,802","2.2%","±0.2"
"        Asian","111,795","±4,691","2.2%","±0.1","66,732","±1,671","9.1%","±0.2","369,675","±6,705","5.0%","±0.1","67,838","±3,095","2.2%","±0.1","7,067,135","±17,387","18.1%","±0.1","292,259","±5,201","5.0%","±0.1","214,181","±3,209","5.9%","±0.1","53,268","±1,813","5.2%","±0.2","39,592","±1,742","5.9%","±0.3","872,174","±10,945","3.9%","±0.1","591,612","±7,694","5.4%","±0.1","812,862","±5,243","56.4%","±0.4","50,687","±2,678","2.6%","±0.1","881,764","±6,109","7.0%","±0.1","218,761","±4,304","3.2%","±0.1","99,472","±2,523","3.1%","±0.1","111,808","±2,170","3.8%","±0.1","91,658","±2,931","2.0%","±0.1","104,841","±2,584","2.3%","±0.1","25,566","±1,049","1.8%","±0.1","496,728","±4,454","8.1%","±0.1","588,732","±5,284","8.4%","±0.1","422,772","±3,747","4.2%","±0.1","361,629","±5,349","6.3%","±0.1","40,773","±2,687","1.4%","±0.1","180,566","±3,893","2.9%","±0.1","19,065","±1,392","1.7%","±0.1","67,003","±2,068","3.4%","±0.1","377,564","±8,556","11.9%","±0.3","52,264","±1,866","3.7%","±0.1","1,050,899","±8,864","11.3%","±0.1","59,363","±4,476","2.8%","±0.2","2,024,780","±10,280","10.3%","±0.1","439,392","±6,806","4.1%","±0.1","17,199","±1,694","2.2%","±0.2","376,575","±4,376","3.2%","±0.1","130,527","±2,342","3.2%","±0.1","288,867","±2,923","6.8%","±0.1","598,781","±6,030","4.6%","±0.1","49,896","±1,937","4.6%","±0.2","125,957","±3,833","2.4%","±0.1","20,571","±1,313","2.3%","±0.1","181,166","±4,392","2.6%","±0.1","1,953,033","±12,565","6.5%","±0.1","130,531","±2,373","3.9%","±0.1","16,724","±596","2.6%","±0.1","753,832","±6,069","8.7%","±0.1","988,085","±5,952","12.7%","±0.1","22,559","±1,559","1.3%","±0.1","218,713","±2,262","3.7%","±0.1","8,821","±1,231","1.5%","±0.2","9,392","±2,518","0.3%","±0.1"
"        Native Hawaiian and Other Pacific Islander","15,363","±4,151","0.3%","±0.1","21,114","±2,996","2.9%","±0.4","36,136","±5,340","0.5%","±0.1","23,030","±4,031","0.8%","±0.1","337,475","±11,193","0.9%","±0.1","22,767","±3,460","0.4%","±0.1","7,222","±2,434","0.2%","±0.1","1,286","±612","0.1%","±0.1","1,914","±1,201","0.3%","±0.2","39,358","±4,870","0.2%","±0.1","24,370","±4,632","0.2%","±0.1","404,442","±10,474","28.1%","±0.7","7,906","±1,539","0.4%","±0.1","23,577","±5,864","0.2%","±0.1","9,231","±3,014","0.1%","±0.1","11,985","±3,367","0.4%","±0.1","10,229","±3,184","0.3%","±0.1","8,610","±2,530","0.2%","±0.1","6,307","±2,111","0.1%","±0.1","1,459","±637","0.1%","±0.1","18,767","±4,609","0.3%","±0.1","7,367","±1,971","0.1%","±0.1","13,173","±2,459","0.1%","±0.1","10,835","±2,541","0.2%","±0.1","2,677","±1,030","0.1%","±0.1","19,282","±3,013","0.3%","±0.1","4,516","±1,901","0.4%","±0.2","3,421","±1,076","0.2%","±0.1","50,085","±4,827","1.6%","±0.2","2,030","±1,100","0.1%","±0.1","14,573","±3,091","0.2%","±0.1","6,821","±2,416","0.3%","±0.1","37,842","±6,236","0.2%","±0.1","25,091","±5,044","0.2%","±0.1","4,649","±2,419","0.6%","±0.3","15,163","±3,418","0.1%","±0.1","15,012","±3,175","0.4%","±0.1","37,787","±4,098","0.9%","±0.1","19,983","±5,192","0.2%","±0.1","733","±439","0.1%","±0.1","5,737","±1,919","0.1%","±0.1","1,571","±970","0.2%","±0.1","14,706","±3,778","0.2%","±0.1","86,111","±8,593","0.3%","±0.1","58,172","±3,477","1.7%","±0.1","226","±167","0.0%","±0.1","23,060","±3,817","0.3%","±0.1","106,574","±5,343","1.4%","±0.1","870","±534","0.0%","±0.1","8,104","±2,549","0.1%","±0.1","2,859","±1,152","0.5%","±0.2","1,287","±847","0.0%","±0.1"
"        Some Other Race","207,746","±9,383","4.1%","±0.2","42,167","±3,921","5.7%","±0.5","1,909,234","±23,635","25.9%","±0.3","297,532","±14,250","9.8%","±0.5","13,401,642","±56,367","34.3%","±0.1","993,869","±20,091","17.0%","±0.3","579,080","±16,072","16.0%","±0.4","100,670","±5,205","9.9%","±0.5","70,388","±4,372","10.5%","±0.7","5,066,188","±44,747","22.8%","±0.2","982,526","±19,079","9.0%","±0.2","83,807","±7,600","5.8%","±0.5","222,065","±8,517","11.5%","±0.4","1,979,228","±22,643","15.7%","±0.2","477,150","±10,910","7.0%","±0.2","185,536","±6,651","5.8%","±0.2","294,704","±10,870","10.0%","±0.4","189,048","±7,666","4.2%","±0.2","259,098","±8,808","5.6%","±0.2","45,025","±4,562","3.3%","±0.3","676,157","±15,411","11.0%","±0.2","980,153","±19,385","14.0%","±0.3","539,513","±14,681","5.4%","±0.1","342,175","±10,977","6.0%","±0.2","107,345","±6,772","3.7%","±0.2","327,510","±12,375","5.3%","±0.2","48,955","±5,566","4.4%","±0.5","193,734","±8,838","9.8%","±0.4","792,871","±14,026","25.0%","±0.4","77,086","±6,406","5.5%","±0.5","1,845,967","±25,611","19.9%","±0.3","790,918","±15,769","37.4%","±0.7","3,516,787","±36,422","17.9%","±0.2","1,008,584","±17,375","9.4%","±0.2","31,121","±3,201","4.0%","±0.4","520,340","±15,071","4.4%","±0.1","371,647","±10,809","9.2%","±0.3","523,173","±13,227","12.3%","±0.3","1,037,410","±22,588","8.0%","±0.2","185,086","±9,599","16.9%","±0.9","323,812","±12,546","6.1%","±0.2","34,562","±3,872","3.8%","±0.4","409,858","±11,619","5.8%","±0.2","9,296,150","±60,265","31.0%","±0.2","400,103","±12,832","11.8%","±0.4","21,544","±2,681","3.3%","±0.4","835,011","±16,871","9.6%","±0.2","964,799","±18,920","12.4%","±0.2","44,765","±4,418","2.5%","±0.2","404,102","±10,284","6.9%","±0.2","51,407","±4,678","8.8%","±0.8","2,142,876","±23,552","66.5%","±0.7"
"HISPANIC OR LATINO AND RACE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","5,074,296","*****","5,074,296","(X)","733,583","*****","733,583","(X)","7,359,197","*****","7,359,197","(X)","3,045,637","*****","3,045,637","(X)","39,029,342","*****","39,029,342","(X)","5,839,926","*****","5,839,926","(X)","3,626,205","*****","3,626,205","(X)","1,018,396","*****","1,018,396","(X)","671,803","*****","671,803","(X)","22,244,823","*****","22,244,823","(X)","10,912,876","*****","10,912,876","(X)","1,440,196","*****","1,440,196","(X)","1,939,033","*****","1,939,033","(X)","12,582,032","*****","12,582,032","(X)","6,833,037","*****","6,833,037","(X)","3,200,517","*****","3,200,517","(X)","2,937,150","*****","2,937,150","(X)","4,512,310","*****","4,512,310","(X)","4,590,241","*****","4,590,241","(X)","1,385,340","*****","1,385,340","(X)","6,164,660","*****","6,164,660","(X)","6,981,974","*****","6,981,974","(X)","10,034,118","*****","10,034,118","(X)","5,717,184","*****","5,717,184","(X)","2,940,057","*****","2,940,057","(X)","6,177,957","*****","6,177,957","(X)","1,122,867","*****","1,122,867","(X)","1,967,923","*****","1,967,923","(X)","3,177,772","*****","3,177,772","(X)","1,395,231","*****","1,395,231","(X)","9,261,699","*****","9,261,699","(X)","2,113,344","*****","2,113,344","(X)","19,677,151","*****","19,677,151","(X)","10,698,973","*****","10,698,973","(X)","779,261","*****","779,261","(X)","11,756,058","*****","11,756,058","(X)","4,019,800","*****","4,019,800","(X)","4,240,137","*****","4,240,137","(X)","12,972,008","*****","12,972,008","(X)","1,093,734","*****","1,093,734","(X)","5,282,634","*****","5,282,634","(X)","909,824","*****","909,824","(X)","7,051,339","*****","7,051,339","(X)","30,029,572","*****","30,029,572","(X)","3,380,800","*****","3,380,800","(X)","647,064","*****","647,064","(X)","8,683,619","*****","8,683,619","(X)","7,785,786","*****","7,785,786","(X)","1,775,156","*****","1,775,156","(X)","5,892,539","*****","5,892,539","(X)","581,381","*****","581,381","(X)","3,221,789","*****","3,221,789","(X)"
"        Hispanic or Latino (of any race)","246,477","±1,821","4.9%","±0.1","56,491","*****","7.7%","*****","2,388,520","*****","32.5%","*****","255,416","±2,056","8.4%","±0.1","15,732,184","*****","40.3%","*****","1,314,962","*****","22.5%","*****","658,978","*****","18.2%","*****","105,300","*****","10.3%","*****","78,911","*****","11.7%","*****","6,025,039","*****","27.1%","*****","1,132,604","±1,773","10.4%","±0.1","160,103","*****","11.1%","*****","261,921","*****","13.5%","*****","2,299,726","±1,207","18.3%","±0.1","534,528","±1,776","7.8%","±0.1","218,024","±1,406","6.8%","±0.1","381,746","±444","13.0%","±0.1","187,483","±2,354","4.2%","±0.1","262,213","±1,014","5.7%","±0.1","28,717","±463","2.1%","±0.1","705,842","±459","11.4%","±0.1","911,038","±490","13.0%","±0.1","572,405","±501","5.7%","±0.1","333,830","±1,717","5.8%","±0.1","97,177","±2,619","3.3%","±0.1","291,763","±1,150","4.7%","±0.1","49,830","±190","4.4%","±0.1","241,898","±273","12.3%","±0.1","961,357","*****","30.3%","*****","63,479","±1,068","4.5%","±0.1","2,028,470","*****","21.9%","*****","1,059,867","*****","50.2%","*****","3,867,299","±942","19.7%","±0.1","1,114,799","±1,716","10.4%","±0.1","34,233","±782","4.4%","±0.1","517,232","±1,641","4.4%","±0.1","486,692","*****","12.1%","*****","609,538","*****","14.4%","*****","1,115,997","±597","8.6%","±0.1","191,979","*****","17.6%","*****","343,783","±1,234","6.5%","±0.1","42,430","±1,015","4.7%","±0.1","442,629","±1,896","6.3%","±0.1","12,070,642","±628","40.2%","±0.1","512,086","*****","15.1%","*****","14,770","±140","2.3%","±0.1","905,750","±1,222","10.4%","±0.1","1,093,313","*****","14.0%","*****","34,343","±1,894","1.9%","±0.1","447,022","±409","7.6%","±0.1","62,803","*****","10.8%","*****","3,190,139","±4,105","99.0%","±0.1"
"            Mexican","141,110","±8,111","2.8%","±0.2","27,343","±2,990","3.7%","±0.4","2,038,142","±16,671","27.7%","±0.2","170,341","±7,530","5.6%","±0.2","12,673,519","±46,737","32.5%","±0.1","933,969","±17,105","16.0%","±0.3","66,256","±9,031","1.8%","±0.2","36,351","±4,319","3.6%","±0.4","20,142","±5,024","3.0%","±0.7","722,134","±28,331","3.2%","±0.1","576,596","±15,411","5.3%","±0.1","57,839","±4,935","4.0%","±0.3","208,279","±5,942","10.7%","±0.3","1,759,842","±20,485","14.0%","±0.2","362,230","±10,154","5.3%","±0.1","148,081","±5,664","4.6%","±0.2","288,771","±8,464","9.8%","±0.3","93,890","±6,717","2.1%","±0.1","80,558","±7,832","1.8%","±0.2","8,143","±1,719","0.6%","±0.1","112,782","±10,543","1.8%","±0.2","60,988","±7,332","0.9%","±0.1","386,713","±8,804","3.9%","±0.1","209,283","±7,319","3.7%","±0.1","48,929","±4,574","1.7%","±0.2","181,070","±5,691","2.9%","±0.1","35,192","±2,394","3.1%","±0.2","165,863","±6,467","8.4%","±0.3","698,111","±16,926","22.0%","±0.5","10,174","±2,853","0.7%","±0.2","243,096","±17,051","2.6%","±0.2","692,889","±15,171","32.8%","±0.7","514,701","±28,814","2.6%","±0.1","553,713","±20,030","5.2%","±0.2","18,956","±2,313","2.4%","±0.3","218,575","±9,821","1.9%","±0.1","377,117","±7,957","9.4%","±0.2","470,335","±9,795","11.1%","±0.2","169,983","±13,498","1.3%","±0.1","14,234","±4,116","1.3%","±0.4","161,226","±9,781","3.1%","±0.2","23,621","±3,240","2.6%","±0.4","229,545","±12,351","3.3%","±0.2","9,674,825","±55,010","32.2%","±0.2","357,135","±11,119","10.6%","±0.3","2,714","±688","0.4%","±0.1","197,924","±12,829","2.3%","±0.1","810,390","±12,560","10.4%","±0.2","13,635","±2,575","0.8%","±0.1","300,355","±8,123","5.1%","±0.1","47,162","±2,396","8.1%","±0.4","8,685","±2,727","0.3%","±0.1"
"            Puerto Rican","20,634","±3,832","0.4%","±0.1","10,401","±2,765","1.4%","±0.4","56,064","±6,517","0.8%","±0.1","9,022","±2,916","0.3%","±0.1","218,582","±12,660","0.6%","±0.1","47,365","±6,059","0.8%","±0.1","294,370","±13,806","8.1%","±0.4","28,401","±3,754","2.8%","±0.4","5,065","±1,994","0.8%","±0.3","1,239,809","±33,120","5.6%","±0.1","121,435","±11,038","1.1%","±0.1","48,406","±5,607","3.4%","±0.4","7,005","±1,934","0.4%","±0.1","214,835","±14,049","1.7%","±0.1","51,234","±6,053","0.7%","±0.1","10,575","±2,878","0.3%","±0.1","17,991","±4,126","0.6%","±0.1","19,726","±3,261","0.4%","±0.1","15,140","±2,411","0.3%","±0.1","8,597","±2,416","0.6%","±0.2","64,800","±6,613","1.1%","±0.1","305,888","±12,083","4.4%","±0.2","51,116","±5,685","0.5%","±0.1","17,695","±2,817","0.3%","±0.1","11,007","±3,130","0.4%","±0.1","23,808","±3,905","0.4%","±0.1","2,128","±988","0.2%","±0.1","6,473","±1,864","0.3%","±0.1","31,962","±6,106","1.0%","±0.2","20,191","±3,671","1.4%","±0.3","462,995","±19,154","5.0%","±0.2","10,655","±3,065","0.5%","±0.1","990,217","±28,243","5.0%","±0.1","126,521","±9,689","1.2%","±0.1","5,409","±2,009","0.7%","±0.3","136,197","±7,965","1.2%","±0.1","19,770","±2,622","0.5%","±0.1","15,301","±2,543","0.4%","±0.1","493,832","±18,325","3.8%","±0.1","45,579","±7,986","4.2%","±0.7","54,004","±7,734","1.0%","±0.1","4,987","±1,531","0.5%","±0.2","38,663","±5,018","0.5%","±0.1","264,937","±16,950","0.9%","±0.1","13,905","±3,658","0.4%","±0.1","2,277","±728","0.4%","±0.1","115,880","±10,240","1.3%","±0.1","48,810","±5,465","0.6%","±0.1","6,114","±1,853","0.3%","±0.1","67,709","±7,507","1.1%","±0.1","1,691","±845","0.3%","±0.1","3,075,871","±9,379","95.5%","±0.3"
